file,class,method,variable,usage
/Users/victorfrancorezende/./commons-codec/src/main/java/org/apache/commons/codec/digest/Blake3.java,org.apache.commons.codec.digest.Blake3$Output,"rootOutputBytes/3[byte[],int,int]",blockWords,1
/Users/victorfrancorezende/./commons-codec/src/main/java/org/apache/commons/codec/digest/Blake3.java,org.apache.commons.codec.digest.Blake3$Output,"rootOutputBytes/3[byte[],int,int]",inputChainingValue,1
/Users/victorfrancorezende/./commons-codec/src/main/java/org/apache/commons/codec/digest/Blake3.java,org.apache.commons.codec.digest.Blake3$Output,"rootOutputBytes/3[byte[],int,int]",blockLength,1
/Users/victorfrancorezende/./commons-codec/src/main/java/org/apache/commons/codec/digest/Blake3.java,org.apache.commons.codec.digest.Blake3$Output,"rootOutputBytes/3[byte[],int,int]",flags,1
/Users/victorfrancorezende/./commons-codec/src/main/java/org/apache/commons/codec/digest/Blake3.java,org.apache.commons.codec.digest.Blake3$Output,"Output/5[int[],int[],long,int,int]",blockWords,3
/Users/victorfrancorezende/./commons-codec/src/main/java/org/apache/commons/codec/digest/Blake3.java,org.apache.commons.codec.digest.Blake3$Output,"Output/5[int[],int[],long,int,int]",inputChainingValue,3
/Users/victorfrancorezende/./commons-codec/src/main/java/org/apache/commons/codec/digest/Blake3.java,org.apache.commons.codec.digest.Blake3$Output,"Output/5[int[],int[],long,int,int]",blockLength,3
/Users/victorfrancorezende/./commons-codec/src/main/java/org/apache/commons/codec/digest/Blake3.java,org.apache.commons.codec.digest.Blake3$Output,"Output/5[int[],int[],long,int,int]",flags,3
/Users/victorfrancorezende/./commons-codec/src/main/java/org/apache/commons/codec/digest/Blake3.java,org.apache.commons.codec.digest.Blake3$Output,"Output/5[int[],int[],long,int,int]",counter,3
/Users/victorfrancorezende/./commons-codec/src/main/java/org/apache/commons/codec/digest/Blake3.java,org.apache.commons.codec.digest.Blake3$Output,chainingValue/0,blockWords,1
/Users/victorfrancorezende/./commons-codec/src/main/java/org/apache/commons/codec/digest/Blake3.java,org.apache.commons.codec.digest.Blake3$Output,chainingValue/0,inputChainingValue,1
/Users/victorfrancorezende/./commons-codec/src/main/java/org/apache/commons/codec/digest/Blake3.java,org.apache.commons.codec.digest.Blake3$Output,chainingValue/0,blockLength,1
/Users/victorfrancorezende/./commons-codec/src/main/java/org/apache/commons/codec/digest/Blake3.java,org.apache.commons.codec.digest.Blake3$Output,chainingValue/0,flags,1
/Users/victorfrancorezende/./commons-codec/src/main/java/org/apache/commons/codec/digest/Blake3.java,org.apache.commons.codec.digest.Blake3$Output,chainingValue/0,counter,1
/Users/victorfrancorezende/./commons-codec/src/test/java/org/apache/commons/codec/binary/Base64Test.java,org.apache.commons.codec.binary.Base64Test,testCodeInteger2/0,CHARSET_UTF8,1
/Users/victorfrancorezende/./commons-codec/src/test/java/org/apache/commons/codec/binary/Base64Test.java,org.apache.commons.codec.binary.Base64Test,testObjectDecodeWithValidParameter/0,CHARSET_UTF8,1
/Users/victorfrancorezende/./commons-codec/src/test/java/org/apache/commons/codec/binary/Base64Test.java,org.apache.commons.codec.binary.Base64Test,testObjectEncodeWithValidParameter/0,CHARSET_UTF8,1
/Users/victorfrancorezende/./commons-codec/src/test/java/org/apache/commons/codec/binary/Base64Test.java,org.apache.commons.codec.binary.Base64Test,testIgnoringNonBase64InDecode/0,CHARSET_UTF8,1
/Users/victorfrancorezende/./commons-codec/src/test/java/org/apache/commons/codec/binary/Base64Test.java,org.apache.commons.codec.binary.Base64Test,testKnownDecodings/0,CHARSET_UTF8,6
/Users/victorfrancorezende/./commons-codec/src/test/java/org/apache/commons/codec/binary/Base64Test.java,org.apache.commons.codec.binary.Base64Test,testCodeInteger3/0,CHARSET_UTF8,1
/Users/victorfrancorezende/./commons-codec/src/test/java/org/apache/commons/codec/binary/Base64Test.java,org.apache.commons.codec.binary.Base64Test,testDecodePadOnly/0,CHARSET_UTF8,6
/Users/victorfrancorezende/./commons-codec/src/test/java/org/apache/commons/codec/binary/Base64Test.java,org.apache.commons.codec.binary.Base64Test,testKnownEncodings/0,CHARSET_UTF8,7
/Users/victorfrancorezende/./commons-codec/src/test/java/org/apache/commons/codec/binary/Base64Test.java,org.apache.commons.codec.binary.Base64Test,testCodeInteger4/0,CHARSET_UTF8,1
/Users/victorfrancorezende/./commons-codec/src/test/java/org/apache/commons/codec/binary/Base64Test.java,org.apache.commons.codec.binary.Base64Test,testBase64ImpossibleSamples/0,BASE64_IMPOSSIBLE_CASES,1
/Users/victorfrancorezende/./commons-codec/src/test/java/org/apache/commons/codec/binary/Base64Test.java,org.apache.commons.codec.binary.Base64Test,testDecodePadMarkerIndex2/0,CHARSET_UTF8,1
/Users/victorfrancorezende/./commons-codec/src/test/java/org/apache/commons/codec/binary/Base64Test.java,org.apache.commons.codec.binary.Base64Test,assertBase64DecodingOfTrailingBits/1[int],STANDARD_ENCODE_TABLE,2
/Users/victorfrancorezende/./commons-codec/src/test/java/org/apache/commons/codec/binary/Base64Test.java,org.apache.commons.codec.binary.Base64Test,testDecodePadOnlyChunked/0,CHARSET_UTF8,6
/Users/victorfrancorezende/./commons-codec/src/test/java/org/apache/commons/codec/binary/Base64Test.java,org.apache.commons.codec.binary.Base64Test,testObjectEncode/0,CHARSET_UTF8,1
/Users/victorfrancorezende/./commons-codec/src/test/java/org/apache/commons/codec/binary/Base64Test.java,org.apache.commons.codec.binary.Base64Test,testCodeInteger1/0,CHARSET_UTF8,1
/Users/victorfrancorezende/./commons-codec/src/test/java/org/apache/commons/codec/binary/Base64Test.java,org.apache.commons.codec.binary.Base64Test,getRandom/0,random,1
/Users/victorfrancorezende/./commons-codec/src/test/java/org/apache/commons/codec/binary/Base64Test.java,org.apache.commons.codec.binary.Base64Test,testDecodePadMarkerIndex3/0,CHARSET_UTF8,2
/Users/victorfrancorezende/./commons-codec/src/test/java/org/apache/commons/codec/binary/Base64Test.java,org.apache.commons.codec.binary.Base64Test,testDecodeWithWhitespace/0,CHARSET_UTF8,2
/Users/victorfrancorezende/./commons-codec/src/main/java/org/apache/commons/codec/language/DoubleMetaphone.java,org.apache.commons.codec.language.DoubleMetaphone$DoubleMetaphoneResult,appendPrimary/1[char],maxLength,1
/Users/victorfrancorezende/./commons-codec/src/main/java/org/apache/commons/codec/language/DoubleMetaphone.java,org.apache.commons.codec.language.DoubleMetaphone$DoubleMetaphoneResult,appendPrimary/1[char],primary,2
/Users/victorfrancorezende/./commons-codec/src/main/java/org/apache/commons/codec/language/DoubleMetaphone.java,org.apache.commons.codec.language.DoubleMetaphone$DoubleMetaphoneResult,appendAlternate/1[java.lang.String],alternate,3
/Users/victorfrancorezende/./commons-codec/src/main/java/org/apache/commons/codec/language/DoubleMetaphone.java,org.apache.commons.codec.language.DoubleMetaphone$DoubleMetaphoneResult,appendAlternate/1[java.lang.String],maxLength,1
/Users/victorfrancorezende/./commons-codec/src/main/java/org/apache/commons/codec/language/DoubleMetaphone.java,org.apache.commons.codec.language.DoubleMetaphone$DoubleMetaphoneResult,DoubleMetaphoneResult/1[int],maxLength,3
/Users/victorfrancorezende/./commons-codec/src/main/java/org/apache/commons/codec/language/DoubleMetaphone.java,org.apache.commons.codec.language.DoubleMetaphone$DoubleMetaphoneResult,"append/2[char,char]",alternate,2
/Users/victorfrancorezende/./commons-codec/src/main/java/org/apache/commons/codec/language/DoubleMetaphone.java,org.apache.commons.codec.language.DoubleMetaphone$DoubleMetaphoneResult,"append/2[char,char]",primary,2
/Users/victorfrancorezende/./commons-codec/src/main/java/org/apache/commons/codec/language/DoubleMetaphone.java,org.apache.commons.codec.language.DoubleMetaphone$DoubleMetaphoneResult,getAlternate/0,alternate,1
/Users/victorfrancorezende/./commons-codec/src/main/java/org/apache/commons/codec/language/DoubleMetaphone.java,org.apache.commons.codec.language.DoubleMetaphone$DoubleMetaphoneResult,isComplete/0,alternate,1
/Users/victorfrancorezende/./commons-codec/src/main/java/org/apache/commons/codec/language/DoubleMetaphone.java,org.apache.commons.codec.language.DoubleMetaphone$DoubleMetaphoneResult,isComplete/0,maxLength,2
/Users/victorfrancorezende/./commons-codec/src/main/java/org/apache/commons/codec/language/DoubleMetaphone.java,org.apache.commons.codec.language.DoubleMetaphone$DoubleMetaphoneResult,isComplete/0,primary,1
/Users/victorfrancorezende/./commons-codec/src/main/java/org/apache/commons/codec/language/DoubleMetaphone.java,org.apache.commons.codec.language.DoubleMetaphone$DoubleMetaphoneResult,appendAlternate/1[char],alternate,2
/Users/victorfrancorezende/./commons-codec/src/main/java/org/apache/commons/codec/language/DoubleMetaphone.java,org.apache.commons.codec.language.DoubleMetaphone$DoubleMetaphoneResult,appendAlternate/1[char],maxLength,1
/Users/victorfrancorezende/./commons-codec/src/main/java/org/apache/commons/codec/language/DoubleMetaphone.java,org.apache.commons.codec.language.DoubleMetaphone$DoubleMetaphoneResult,getPrimary/0,primary,1
/Users/victorfrancorezende/./commons-codec/src/main/java/org/apache/commons/codec/language/DoubleMetaphone.java,org.apache.commons.codec.language.DoubleMetaphone$DoubleMetaphoneResult,"append/2[java.lang.String,java.lang.String]",alternate,2
/Users/victorfrancorezende/./commons-codec/src/main/java/org/apache/commons/codec/language/DoubleMetaphone.java,org.apache.commons.codec.language.DoubleMetaphone$DoubleMetaphoneResult,"append/2[java.lang.String,java.lang.String]",primary,2
/Users/victorfrancorezende/./commons-codec/src/main/java/org/apache/commons/codec/language/DoubleMetaphone.java,org.apache.commons.codec.language.DoubleMetaphone$DoubleMetaphoneResult,appendPrimary/1[java.lang.String],maxLength,1
/Users/victorfrancorezende/./commons-codec/src/main/java/org/apache/commons/codec/language/DoubleMetaphone.java,org.apache.commons.codec.language.DoubleMetaphone$DoubleMetaphoneResult,appendPrimary/1[java.lang.String],primary,3
/Users/victorfrancorezende/./commons-codec/src/main/java/org/apache/commons/codec/net/Utils.java,org.apache.commons.codec.net.Utils,digit16/1[byte],RADIX,2
/Users/victorfrancorezende/./commons-codec/src/main/java/org/apache/commons/codec/net/Utils.java,org.apache.commons.codec.net.Utils,hexDigit/1[int],RADIX,1
/Users/victorfrancorezende/./commons-codec/src/main/java/org/apache/commons/codec/language/ColognePhonetic.java,org.apache.commons.codec.language.ColognePhonetic$CologneBuffer,toString/0,length,1
/Users/victorfrancorezende/./commons-codec/src/main/java/org/apache/commons/codec/language/ColognePhonetic.java,org.apache.commons.codec.language.ColognePhonetic$CologneBuffer,CologneBuffer/1[int],data,1
/Users/victorfrancorezende/./commons-codec/src/main/java/org/apache/commons/codec/language/ColognePhonetic.java,org.apache.commons.codec.language.ColognePhonetic$CologneBuffer,CologneBuffer/1[int],length,1
/Users/victorfrancorezende/./commons-codec/src/main/java/org/apache/commons/codec/language/ColognePhonetic.java,org.apache.commons.codec.language.ColognePhonetic$CologneBuffer,"copyData/2[int,int]",length,1
/Users/victorfrancorezende/./commons-codec/src/main/java/org/apache/commons/codec/language/ColognePhonetic.java,org.apache.commons.codec.language.ColognePhonetic$CologneBuffer,isEmpty/0,length,1
/Users/victorfrancorezende/./commons-codec/src/main/java/org/apache/commons/codec/language/ColognePhonetic.java,org.apache.commons.codec.language.ColognePhonetic$CologneBuffer,CologneBuffer/1[char[]],data,3
/Users/victorfrancorezende/./commons-codec/src/main/java/org/apache/commons/codec/language/ColognePhonetic.java,org.apache.commons.codec.language.ColognePhonetic$CologneBuffer,CologneBuffer/1[char[]],length,1
/Users/victorfrancorezende/./commons-codec/src/main/java/org/apache/commons/codec/language/ColognePhonetic.java,org.apache.commons.codec.language.ColognePhonetic$CologneBuffer,length/0,length,2
/Users/victorfrancorezende/./commons-codec/src/main/java/org/apache/commons/codec/digest/MurmurHash2.java,org.apache.commons.codec.digest.MurmurHash2,"hash32/3[byte[],int,int]",R32,1
/Users/victorfrancorezende/./commons-codec/src/main/java/org/apache/commons/codec/digest/MurmurHash2.java,org.apache.commons.codec.digest.MurmurHash2,"hash32/3[byte[],int,int]",M32,5
/Users/victorfrancorezende/./commons-codec/src/main/java/org/apache/commons/codec/digest/MurmurHash2.java,org.apache.commons.codec.digest.MurmurHash2,"hash64/3[byte[],int,int]",R64,3
/Users/victorfrancorezende/./commons-codec/src/main/java/org/apache/commons/codec/digest/MurmurHash2.java,org.apache.commons.codec.digest.MurmurHash2,"hash64/3[byte[],int,int]",M64,6
/Users/victorfrancorezende/./commons-codec/src/main/java/org/apache/commons/codec/digest/MurmurHash3.java,org.apache.commons.codec.digest.MurmurHash3,"hash32x86/4[byte[],int,int,int]",R1_32,1
/Users/victorfrancorezende/./commons-codec/src/main/java/org/apache/commons/codec/digest/MurmurHash3.java,org.apache.commons.codec.digest.MurmurHash3,"hash32x86/4[byte[],int,int,int]",C1_32,1
/Users/victorfrancorezende/./commons-codec/src/main/java/org/apache/commons/codec/digest/MurmurHash3.java,org.apache.commons.codec.digest.MurmurHash3,"hash32x86/4[byte[],int,int,int]",C2_32,1
/Users/victorfrancorezende/./commons-codec/src/main/java/org/apache/commons/codec/digest/MurmurHash3.java,org.apache.commons.codec.digest.MurmurHash3,"hash32/4[byte[],int,int,int]",R1_32,1
/Users/victorfrancorezende/./commons-codec/src/main/java/org/apache/commons/codec/digest/MurmurHash3.java,org.apache.commons.codec.digest.MurmurHash3,"hash32/4[byte[],int,int,int]",C1_32,1
/Users/victorfrancorezende/./commons-codec/src/main/java/org/apache/commons/codec/digest/MurmurHash3.java,org.apache.commons.codec.digest.MurmurHash3,"hash32/4[byte[],int,int,int]",C2_32,1
/Users/victorfrancorezende/./commons-codec/src/main/java/org/apache/commons/codec/digest/MurmurHash3.java,org.apache.commons.codec.digest.MurmurHash3,hash64/1[long],DEFAULT_SEED,1
/Users/victorfrancorezende/./commons-codec/src/main/java/org/apache/commons/codec/digest/MurmurHash3.java,org.apache.commons.codec.digest.MurmurHash3,hash64/1[long],R2,1
/Users/victorfrancorezende/./commons-codec/src/main/java/org/apache/commons/codec/digest/MurmurHash3.java,org.apache.commons.codec.digest.MurmurHash3,hash64/1[long],N1,1
/Users/victorfrancorezende/./commons-codec/src/main/java/org/apache/commons/codec/digest/MurmurHash3.java,org.apache.commons.codec.digest.MurmurHash3,hash64/1[long],M,1
/Users/victorfrancorezende/./commons-codec/src/main/java/org/apache/commons/codec/digest/MurmurHash3.java,org.apache.commons.codec.digest.MurmurHash3,hash64/1[long],C1,1
/Users/victorfrancorezende/./commons-codec/src/main/java/org/apache/commons/codec/digest/MurmurHash3.java,org.apache.commons.codec.digest.MurmurHash3,hash64/1[long],R1,1
/Users/victorfrancorezende/./commons-codec/src/main/java/org/apache/commons/codec/digest/MurmurHash3.java,org.apache.commons.codec.digest.MurmurHash3,hash64/1[long],C2,1
/Users/victorfrancorezende/./commons-codec/src/main/java/org/apache/commons/codec/digest/MurmurHash3.java,org.apache.commons.codec.digest.MurmurHash3,hash32/1[java.lang.String],DEFAULT_SEED,1
/Users/victorfrancorezende/./commons-codec/src/main/java/org/apache/commons/codec/digest/MurmurHash3.java,org.apache.commons.codec.digest.MurmurHash3,hash64/1[short],DEFAULT_SEED,1
/Users/victorfrancorezende/./commons-codec/src/main/java/org/apache/commons/codec/digest/MurmurHash3.java,org.apache.commons.codec.digest.MurmurHash3,hash64/1[short],C1,1
/Users/victorfrancorezende/./commons-codec/src/main/java/org/apache/commons/codec/digest/MurmurHash3.java,org.apache.commons.codec.digest.MurmurHash3,hash64/1[short],R1,1
/Users/victorfrancorezende/./commons-codec/src/main/java/org/apache/commons/codec/digest/MurmurHash3.java,org.apache.commons.codec.digest.MurmurHash3,hash64/1[short],C2,1
/Users/victorfrancorezende/./commons-codec/src/main/java/org/apache/commons/codec/digest/MurmurHash3.java,org.apache.commons.codec.digest.MurmurHash3,"hash32/2[long,long]",DEFAULT_SEED,1
/Users/victorfrancorezende/./commons-codec/src/main/java/org/apache/commons/codec/digest/MurmurHash3.java,org.apache.commons.codec.digest.MurmurHash3,hash64/1[int],DEFAULT_SEED,1
/Users/victorfrancorezende/./commons-codec/src/main/java/org/apache/commons/codec/digest/MurmurHash3.java,org.apache.commons.codec.digest.MurmurHash3,hash64/1[int],C1,1
/Users/victorfrancorezende/./commons-codec/src/main/java/org/apache/commons/codec/digest/MurmurHash3.java,org.apache.commons.codec.digest.MurmurHash3,hash64/1[int],R1,1
/Users/victorfrancorezende/./commons-codec/src/main/java/org/apache/commons/codec/digest/MurmurHash3.java,org.apache.commons.codec.digest.MurmurHash3,hash64/1[int],C2,1
/Users/victorfrancorezende/./commons-codec/src/main/java/org/apache/commons/codec/digest/MurmurHash3.java,org.apache.commons.codec.digest.MurmurHash3,"hash128x64Internal/4[byte[],int,int,long]",R2,1
/Users/victorfrancorezende/./commons-codec/src/main/java/org/apache/commons/codec/digest/MurmurHash3.java,org.apache.commons.codec.digest.MurmurHash3,"hash128x64Internal/4[byte[],int,int,long]",R3,2
/Users/victorfrancorezende/./commons-codec/src/main/java/org/apache/commons/codec/digest/MurmurHash3.java,org.apache.commons.codec.digest.MurmurHash3,"hash128x64Internal/4[byte[],int,int,long]",N1,1
/Users/victorfrancorezende/./commons-codec/src/main/java/org/apache/commons/codec/digest/MurmurHash3.java,org.apache.commons.codec.digest.MurmurHash3,"hash128x64Internal/4[byte[],int,int,long]",N2,1
/Users/victorfrancorezende/./commons-codec/src/main/java/org/apache/commons/codec/digest/MurmurHash3.java,org.apache.commons.codec.digest.MurmurHash3,"hash128x64Internal/4[byte[],int,int,long]",M,2
/Users/victorfrancorezende/./commons-codec/src/main/java/org/apache/commons/codec/digest/MurmurHash3.java,org.apache.commons.codec.digest.MurmurHash3,"hash128x64Internal/4[byte[],int,int,long]",C1,4
/Users/victorfrancorezende/./commons-codec/src/main/java/org/apache/commons/codec/digest/MurmurHash3.java,org.apache.commons.codec.digest.MurmurHash3,"hash128x64Internal/4[byte[],int,int,long]",R1,3
/Users/victorfrancorezende/./commons-codec/src/main/java/org/apache/commons/codec/digest/MurmurHash3.java,org.apache.commons.codec.digest.MurmurHash3,"hash128x64Internal/4[byte[],int,int,long]",C2,4
/Users/victorfrancorezende/./commons-codec/src/main/java/org/apache/commons/codec/digest/MurmurHash3.java,org.apache.commons.codec.digest.MurmurHash3,hash64/1[byte[]],DEFAULT_SEED,1
/Users/victorfrancorezende/./commons-codec/src/main/java/org/apache/commons/codec/digest/MurmurHash3.java,org.apache.commons.codec.digest.MurmurHash3,"hash64/4[byte[],int,int,int]",R2,1
/Users/victorfrancorezende/./commons-codec/src/main/java/org/apache/commons/codec/digest/MurmurHash3.java,org.apache.commons.codec.digest.MurmurHash3,"hash64/4[byte[],int,int,int]",N1,1
/Users/victorfrancorezende/./commons-codec/src/main/java/org/apache/commons/codec/digest/MurmurHash3.java,org.apache.commons.codec.digest.MurmurHash3,"hash64/4[byte[],int,int,int]",M,1
/Users/victorfrancorezende/./commons-codec/src/main/java/org/apache/commons/codec/digest/MurmurHash3.java,org.apache.commons.codec.digest.MurmurHash3,"hash64/4[byte[],int,int,int]",C1,2
/Users/victorfrancorezende/./commons-codec/src/main/java/org/apache/commons/codec/digest/MurmurHash3.java,org.apache.commons.codec.digest.MurmurHash3,"hash64/4[byte[],int,int,int]",R1,2
/Users/victorfrancorezende/./commons-codec/src/main/java/org/apache/commons/codec/digest/MurmurHash3.java,org.apache.commons.codec.digest.MurmurHash3,"hash64/4[byte[],int,int,int]",C2,2
/Users/victorfrancorezende/./commons-codec/src/main/java/org/apache/commons/codec/digest/MurmurHash3.java,org.apache.commons.codec.digest.MurmurHash3,hash128/1[java.lang.String],DEFAULT_SEED,1
/Users/victorfrancorezende/./commons-codec/src/main/java/org/apache/commons/codec/digest/MurmurHash3.java,org.apache.commons.codec.digest.MurmurHash3,hash32/1[long],DEFAULT_SEED,1
/Users/victorfrancorezende/./commons-codec/src/main/java/org/apache/commons/codec/digest/MurmurHash3.java,org.apache.commons.codec.digest.MurmurHash3,"hash32/2[byte[],int]",DEFAULT_SEED,1
/Users/victorfrancorezende/./commons-codec/src/main/java/org/apache/commons/codec/digest/MurmurHash3.java,org.apache.commons.codec.digest.MurmurHash3,hash128/1[byte[]],DEFAULT_SEED,1
/Users/victorfrancorezende/./commons-codec/src/main/java/org/apache/commons/codec/digest/MurmurHash3.java,org.apache.commons.codec.digest.MurmurHash3,"mix32/2[int,int]",R1_32,1
/Users/victorfrancorezende/./commons-codec/src/main/java/org/apache/commons/codec/digest/MurmurHash3.java,org.apache.commons.codec.digest.MurmurHash3,"mix32/2[int,int]",N_32,1
/Users/victorfrancorezende/./commons-codec/src/main/java/org/apache/commons/codec/digest/MurmurHash3.java,org.apache.commons.codec.digest.MurmurHash3,"mix32/2[int,int]",R2_32,1
/Users/victorfrancorezende/./commons-codec/src/main/java/org/apache/commons/codec/digest/MurmurHash3.java,org.apache.commons.codec.digest.MurmurHash3,"mix32/2[int,int]",M_32,1
/Users/victorfrancorezende/./commons-codec/src/main/java/org/apache/commons/codec/digest/MurmurHash3.java,org.apache.commons.codec.digest.MurmurHash3,"mix32/2[int,int]",C1_32,1
/Users/victorfrancorezende/./commons-codec/src/main/java/org/apache/commons/codec/digest/MurmurHash3.java,org.apache.commons.codec.digest.MurmurHash3,"mix32/2[int,int]",C2_32,1
/Users/victorfrancorezende/./commons-codec/src/main/java/org/apache/commons/codec/digest/MurmurHash3.java,org.apache.commons.codec.digest.MurmurHash3,"hash64/3[byte[],int,int]",DEFAULT_SEED,1
/Users/victorfrancorezende/./commons-codec/src/main/java/org/apache/commons/codec/digest/MurmurHash3.java,org.apache.commons.codec.digest.MurmurHash3,hash32/1[byte[]],DEFAULT_SEED,1
/Users/victorfrancorezende/./commons-codec/src/test/java/org/apache/commons/codec/binary/Base64InputStreamTest.java,org.apache.commons.codec.binary.Base64InputStreamTest,testRead0/0,STRING_FIXTURE,1
/Users/victorfrancorezende/./commons-codec/src/test/java/org/apache/commons/codec/binary/Base64InputStreamTest.java,org.apache.commons.codec.binary.Base64InputStreamTest,testReadOutOfBounds/0,STRING_FIXTURE,1
/Users/victorfrancorezende/./commons-codec/src/test/java/org/apache/commons/codec/binary/Base64InputStreamTest.java,org.apache.commons.codec.binary.Base64InputStreamTest,testBase64InputStreamByChunk/0,CRLF,2
/Users/victorfrancorezende/./commons-codec/src/test/java/org/apache/commons/codec/binary/Base64InputStreamTest.java,org.apache.commons.codec.binary.Base64InputStreamTest,testBase64InputStreamByChunk/0,LF,3
/Users/victorfrancorezende/./commons-codec/src/test/java/org/apache/commons/codec/binary/Base64InputStreamTest.java,org.apache.commons.codec.binary.Base64InputStreamTest,testBase64InputStreamByChunk/0,STRING_FIXTURE,1
/Users/victorfrancorezende/./commons-codec/src/test/java/org/apache/commons/codec/binary/Base64InputStreamTest.java,org.apache.commons.codec.binary.Base64InputStreamTest,testAvailable/0,ENCODED_B64,1
/Users/victorfrancorezende/./commons-codec/src/test/java/org/apache/commons/codec/binary/Base64InputStreamTest.java,org.apache.commons.codec.binary.Base64InputStreamTest,testBase64InputStreamByteByByte/0,CRLF,2
/Users/victorfrancorezende/./commons-codec/src/test/java/org/apache/commons/codec/binary/Base64InputStreamTest.java,org.apache.commons.codec.binary.Base64InputStreamTest,testBase64InputStreamByteByByte/0,LF,3
/Users/victorfrancorezende/./commons-codec/src/test/java/org/apache/commons/codec/binary/Base64InputStreamTest.java,org.apache.commons.codec.binary.Base64InputStreamTest,testBase64InputStreamByteByByte/0,STRING_FIXTURE,1
/Users/victorfrancorezende/./commons-codec/src/test/java/org/apache/commons/codec/binary/Base64InputStreamTest.java,org.apache.commons.codec.binary.Base64InputStreamTest,testSkipPastEnd/0,ENCODED_B64,1
/Users/victorfrancorezende/./commons-codec/src/test/java/org/apache/commons/codec/binary/Base64InputStreamTest.java,org.apache.commons.codec.binary.Base64InputStreamTest,testSkipToEnd/0,ENCODED_B64,1
/Users/victorfrancorezende/./commons-codec/src/test/java/org/apache/commons/codec/binary/Base64InputStreamTest.java,org.apache.commons.codec.binary.Base64InputStreamTest,testSkipWrongArgument/0,ENCODED_B64,1
/Users/victorfrancorezende/./commons-codec/src/test/java/org/apache/commons/codec/binary/Base64InputStreamTest.java,org.apache.commons.codec.binary.Base64InputStreamTest,testReadNull/0,STRING_FIXTURE,1
/Users/victorfrancorezende/./commons-codec/src/test/java/org/apache/commons/codec/binary/Base64InputStreamTest.java,org.apache.commons.codec.binary.Base64InputStreamTest,testSkipBig/0,ENCODED_B64,1
/Users/victorfrancorezende/./commons-codec/src/test/java/org/apache/commons/codec/binary/Base64InputStreamTest.java,org.apache.commons.codec.binary.Base64InputStreamTest,testSkipNone/0,ENCODED_B64,1
/Users/victorfrancorezende/./commons-codec/src/test/java/org/apache/commons/codec/binary/Base64InputStreamTest.java,org.apache.commons.codec.binary.Base64InputStreamTest,testCodec130/0,STRING_FIXTURE,2
/Users/victorfrancorezende/./commons-codec/src/test/java/org/apache/commons/codec/binary/Base64InputStreamTest.java,org.apache.commons.codec.binary.Base64InputStreamTest,testBase64EmptyInputStream/1[int],CRLF,2
/Users/victorfrancorezende/./commons-codec/src/test/java/org/apache/commons/codec/binary/Base64InputStreamTest.java,org.apache.commons.codec.binary.Base64InputStreamTest,testMarkSupported/0,STRING_FIXTURE,1
/Users/victorfrancorezende/./commons-codec/src/main/java/org/apache/commons/codec/language/ColognePhonetic.java,org.apache.commons.codec.language.ColognePhonetic$CologneOutputBuffer,CologneOutputBuffer/1[int],lastCode,1
/Users/victorfrancorezende/./commons-codec/src/main/java/org/apache/commons/codec/language/ColognePhonetic.java,org.apache.commons.codec.language.ColognePhonetic$CologneOutputBuffer,put/1[char],lastCode,2
/Users/victorfrancorezende/./commons-codec/src/main/java/org/apache/commons/codec/binary/Base64.java,org.apache.commons.codec.binary.Base64,"Base64/2[int,byte[]]",lineSeparator,3
/Users/victorfrancorezende/./commons-codec/src/main/java/org/apache/commons/codec/binary/Base64.java,org.apache.commons.codec.binary.Base64,"Base64/4[int,byte[],boolean,org.apache.commons.codec.CodecPolicy]",BYTES_PER_UNENCODED_BLOCK,1
/Users/victorfrancorezende/./commons-codec/src/main/java/org/apache/commons/codec/binary/Base64.java,org.apache.commons.codec.binary.Base64,"Base64/4[int,byte[],boolean,org.apache.commons.codec.CodecPolicy]",encodeTable,1
/Users/victorfrancorezende/./commons-codec/src/main/java/org/apache/commons/codec/binary/Base64.java,org.apache.commons.codec.binary.Base64,"Base64/4[int,byte[],boolean,org.apache.commons.codec.CodecPolicy]",encodeSize,4
/Users/victorfrancorezende/./commons-codec/src/main/java/org/apache/commons/codec/binary/Base64.java,org.apache.commons.codec.binary.Base64,"Base64/4[int,byte[],boolean,org.apache.commons.codec.CodecPolicy]",BYTES_PER_ENCODED_BLOCK,4
/Users/victorfrancorezende/./commons-codec/src/main/java/org/apache/commons/codec/binary/Base64.java,org.apache.commons.codec.binary.Base64,"Base64/4[int,byte[],boolean,org.apache.commons.codec.CodecPolicy]",STANDARD_ENCODE_TABLE,1
/Users/victorfrancorezende/./commons-codec/src/main/java/org/apache/commons/codec/binary/Base64.java,org.apache.commons.codec.binary.Base64,"Base64/4[int,byte[],boolean,org.apache.commons.codec.CodecPolicy]",lineSeparator,10
/Users/victorfrancorezende/./commons-codec/src/main/java/org/apache/commons/codec/binary/Base64.java,org.apache.commons.codec.binary.Base64,"Base64/4[int,byte[],boolean,org.apache.commons.codec.CodecPolicy]",decodeSize,1
/Users/victorfrancorezende/./commons-codec/src/main/java/org/apache/commons/codec/binary/Base64.java,org.apache.commons.codec.binary.Base64,"Base64/4[int,byte[],boolean,org.apache.commons.codec.CodecPolicy]",URL_SAFE_ENCODE_TABLE,1
